Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
hero_high.txt,7,10,15.41,89.5,7.03,1,10,10,90,80,60,20,20,0,0,0,20,0,0,40,0,0,10,10,10,0,0,20,10,30,0,0,0,0,40,20,20,0,0,0,10,0,10,0,10,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,20,10,0,0,0,10,0,10,0,0,0,0,0,10,10,0,0,0,0,0
hero_high.txt,8,29,1,78.45,1,98.26,29,3.45,96.55,86.21,72.41,24.14,10.34,0,0,3.45,6.9,0,13.79,24.14,6.9,0,3.45,24.14,6.9,0,6.9,37.93,0,10.34,0,0,0,0,27.59,10.34,17.24,3.45,0,6.9,3.45,0,6.9,0,13.79,10.34,3.45,6.9,3.45,3.45,0,3.45,0,0,20.69,10.34,0,0,0,6.9,0,17.24,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,3.45,0,0,0,3.45,0,0,3.45,13.79,10.34,3.45,0,0,0,0,0,20.69,3.45,6.9,0,0,10.34,0
hero_high.txt,9,28,35.59,61.28,24.32,75.77,28,10.71,89.29,71.43,60.71,17.86,10.71,0,0,0,10.71,0,7.14,14.29,3.57,0,17.86,10.71,7.14,3.57,3.57,21.43,0,3.57,0,0,0,0,17.86,3.57,14.29,3.57,3.57,3.57,0,0,3.57,0,3.57,3.57,0,0,0,0,0,0,0,0,10.71,0,0,0,0,0,0,10.71,0,0,0,10.71,0,0,0,0,7.14,3.57,3.57,0,0,0,3.57,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,7.14,14.29,0,3.57,14.29,0,0,0,3.57,10.71,3.57,0,0,0,0,0,0,10.71,3.57,0,0,0,7.14,0
hero_high.txt,10,38,85.45,90.88,1,92.27,38,13.16,81.58,71.05,57.89,15.79,13.16,0,0,0,13.16,0,2.63,26.32,10.53,0,15.79,7.89,2.63,2.63,0,13.16,13.16,5.26,0,0,0,0,10.53,0,10.53,2.63,2.63,0,0,0,5.26,0,5.26,5.26,0,0,0,0,0,0,0,0,15.79,2.63,0,0,0,2.63,0,15.79,0,0,0,13.16,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,7.89,0,0,5.26,2.63,0,0,2.63,7.89,0,0,0,0,0,0,0,10.53,2.63,2.63,0,0,5.26,0
hero_high.txt,11,11,1.5,1,50.45,20.23,11,36.36,72.73,63.64,54.55,18.18,0,0,0,0,0,0,18.18,0,0,0,9.09,9.09,9.09,9.09,9.09,9.09,9.09,0,9.09,0,0,9.09,27.27,0,27.27,0,0,0,0,0,18.18,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,27.27,9.09,9.09,0,0,9.09,0
hero_high.txt,12,33,89.52,58.11,86.68,67.94,33,21.21,90.91,66.67,54.55,9.09,6.06,0,0,0,6.06,0,3.03,18.18,9.09,0,15.15,6.06,3.03,6.06,0,15.15,3.03,9.09,3.03,0,0,3.03,12.12,3.03,9.09,3.03,0,0,0,0,6.06,0,9.09,6.06,3.03,3.03,3.03,0,0,0,0,0,15.15,9.09,0,0,0,6.06,0,9.09,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,3.03,12.12,0,3.03,9.09,0,0,0,9.09,12.12,3.03,0,0,0,0,0,0,12.12,3.03,6.06,0,0,3.03,0
hero_high.txt,13,4,1,40.06,1,99,4,25,100,75,75,25,0,0,0,0,0,0,25,0,0,0,0,25,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,50,50,0,0,0,0,0
hero_high.txt,14,34,1.05,57.59,1,20.23,34,20.59,91.18,82.35,70.59,23.53,11.76,0,0,0,11.76,0,11.76,14.71,2.94,0,8.82,20.59,5.88,5.88,2.94,23.53,5.88,5.88,0,0,0,0,26.47,5.88,20.59,5.88,0,2.94,2.94,0,8.82,0,5.88,2.94,2.94,2.94,0,2.94,0,0,0,0,14.71,2.94,0,0,0,2.94,0,14.71,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,2.94,2.94,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,5.88,5.88,0,0,2.94,0,0,2.94,0,14.71,0,0,0,0,0,0,0,11.76,2.94,5.88,0,0,2.94,0
hero_high.txt,15,18,49.68,99,1.17,93.93,18,16.67,83.33,66.67,50,22.22,16.67,0,0,0,16.67,0,5.56,16.67,5.56,0,11.11,5.56,5.56,0,0,16.67,5.56,0,0,0,0,0,16.67,0,16.67,11.11,5.56,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,27.78,5.56,0,0,0,5.56,0,27.78,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,11.11,16.67,0,0,0,0,0,0,0,16.67,5.56,11.11,0,0,0,0
hero_high.txt,16,39,53.56,40.06,91.37,91.4,39,28.21,97.44,79.49,58.97,12.82,2.56,0,0,0,2.56,0,10.26,15.38,2.56,0,17.95,5.13,7.69,10.26,0,12.82,12.82,15.38,2.56,2.56,0,0,25.64,0,25.64,10.26,5.13,0,2.56,0,5.13,0,5.13,5.13,0,0,0,0,0,0,0,0,12.82,10.26,2.56,0,0,2.56,5.13,5.13,0,0,0,2.56,2.56,0,0,2.56,2.56,0,0,2.56,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,0,0,2.56,0,0,0,10.26,15.38,0,0,0,0,0,0,0,10.26,2.56,5.13,0,0,2.56,0
hero_high.txt,17,21,2.35,40.06,97.09,88.66,21,19.05,95.24,76.19,61.9,23.81,14.29,0,0,0,14.29,0,9.52,4.76,0,4.76,14.29,9.52,9.52,9.52,4.76,19.05,0,9.52,0,0,0,0,28.57,4.76,23.81,9.52,0,0,0,0,14.29,0,4.76,4.76,0,0,0,0,0,0,0,0,23.81,9.52,0,0,0,4.76,0,19.05,0,0,0,14.29,0,0,0,0,9.52,0,0,4.76,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,4.76,0,0,4.76,0,0,0,14.29,14.29,0,0,0,0,0,0,0,14.29,4.76,4.76,0,0,4.76,0
hero_high.txt,18,13,96.67,81.78,2.93,1,13,30.77,76.92,61.54,46.15,7.69,7.69,0,0,0,7.69,0,0,7.69,7.69,0,23.08,0,7.69,7.69,0,0,15.38,0,0,0,0,0,7.69,0,7.69,7.69,0,0,0,0,0,0,15.38,0,7.69,15.38,0,7.69,0,0,0,0,15.38,7.69,0,0,0,0,7.69,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,15.38,7.69,7.69,0,0,0,0
hero_high.txt,19,16,1,94.84,1,99,16,18.75,100,81.25,68.75,18.75,18.75,0,0,0,18.75,0,0,12.5,12.5,0,0,25,6.25,6.25,12.5,25,12.5,0,12.5,6.25,6.25,0,31.25,0,31.25,0,6.25,12.5,6.25,6.25,6.25,0,25,25,0,0,0,0,0,0,0,0,37.5,18.75,6.25,0,0,12.5,0,31.25,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6.25,6.25,0,12.5,0
hero_high.txt,20,43,76.62,40.06,98.53,1,43,20.93,88.37,65.12,53.49,11.63,4.65,0,0,0,2.33,2.33,6.98,18.6,6.98,4.65,16.28,4.65,2.33,9.3,2.33,9.3,2.33,9.3,0,0,0,0,9.3,0,9.3,2.33,2.33,0,0,0,4.65,0,9.3,2.33,6.98,2.33,0,0,0,0,0,0,13.95,9.3,0,0,2.33,4.65,0,6.98,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,2.33,0,0,0,2.33,0,0,0,0,0,2.33,11.63,0,0,11.63,0,0,0,13.95,4.65,0,0,0,0,0,0,0,18.6,2.33,9.3,0,0,6.98,0
hero_high.txt,21,2,89.52,40.06,99,99,2,50,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,50,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0
